Parameter,Start_Timestamp,End_Timestamp,Duration_Records,Duration_Minutes
03FIC_1085.PV,2022-02-19 17:18:00,2022-02-19 17:18:00,1,0.0
03FIC_1085.PV,2022-02-19 17:20:00,2022-02-19 17:24:00,5,4.0
03FIC_1085.PV,2022-02-19 17:26:00,2022-02-19 17:26:00,1,0.0
03FIC_1085.PV,2022-02-19 17:29:00,2022-02-19 17:31:00,3,2.0
03FIC_1085.PV,2022-02-19 17:33:00,2022-02-19 17:34:00,2,1.0
03FIC_1085.PV,2022-02-19 17:36:00,2022-02-19 17:45:00,10,9.0
03FIC_1085.PV,2022-02-19 17:48:00,2022-02-19 17:48:00,1,0.0
03FIC_1085.PV,2022-02-19 17:50:00,2022-02-19 17:53:00,4,3.0
03FIC_1085.PV,2022-03-28 01:07:00,2022-03-28 01:07:00,1,0.0
03FIC_1085.PV,2022-03-28 12:14:00,2022-03-28 12:14:00,1,0.0
03FIC_1085.PV,2022-05-15 23:38:00,2022-05-15 23:38:00,1,0.0
03FIC_1085.PV,2022-06-21 16:17:00,2022-06-21 16:18:00,2,1.0
03FIC_1085.PV,2022-06-21 16:22:00,2022-06-21 16:22:00,1,0.0
03FIC_1085.PV,2022-06-21 16:24:00,2022-06-21 16:27:00,4,3.0
03FIC_1085.PV,2022-06-21 16:29:00,2022-06-21 16:29:00,1,0.0
03FIC_1085.PV,2022-06-21 16:31:00,2022-06-21 16:34:00,4,3.0
03FIC_1085.PV,2022-06-21 16:36:00,2022-06-21 16:38:00,3,2.0
03FIC_1085.PV,2022-06-21 16:40:00,2022-06-21 16:40:00,1,0.0
03FIC_1085.PV,2022-06-21 16:42:00,2022-06-21 16:44:00,3,2.0
03FIC_1085.PV,2022-06-21 16:46:00,2022-06-21 16:46:00,1,0.0
03FIC_1085.PV,2022-06-21 16:49:00,2022-06-21 16:53:00,5,4.0
03FIC_1085.PV,2022-06-21 16:55:00,2022-06-21 16:55:00,1,0.0
03FIC_1085.PV,2022-10-02 14:24:00,2022-10-02 14:25:00,2,1.0
03FIC_1085.PV,2022-12-30 09:50:00,2022-12-30 09:50:00,1,0.0
03FIC_1085.PV,2023-03-08 23:27:00,2023-03-08 23:27:00,1,0.0
03FIC_1085.PV,2023-06-05 10:18:00,2023-06-05 10:18:00,1,0.0
03FIC_1085.PV,2023-06-05 10:20:00,2023-06-05 10:21:00,2,1.0
03FIC_1085.PV,2023-06-05 10:34:00,2023-06-05 10:35:00,2,1.0
03FIC_1085.PV,2023-06-05 10:49:00,2023-06-05 10:51:00,3,2.0
03FIC_1085.PV,2023-06-05 10:53:00,2023-06-05 10:53:00,1,0.0
03FIC_1085.PV,2023-06-05 10:55:00,2023-06-05 10:56:00,2,1.0
03FIC_1085.PV,2023-06-05 10:58:00,2023-06-05 11:02:00,5,4.0
03FIC_1085.PV,2023-06-05 11:05:00,2023-06-05 11:06:00,2,1.0
03FIC_1085.PV,2023-06-05 11:08:00,2023-06-05 11:08:00,1,0.0
03FIC_1085.PV,2023-07-01 09:30:00,2023-07-01 09:33:00,4,3.0
03FIC_1085.PV,2023-07-01 09:41:00,2023-07-01 09:44:00,4,3.0
03FIC_1085.PV,2023-07-01 09:47:00,2023-07-01 09:47:00,1,0.0
03FIC_1085.PV,2023-07-01 09:51:00,2023-07-01 09:52:00,2,1.0
03FIC_1085.PV,2023-07-01 09:56:00,2023-07-01 09:56:00,1,0.0
03FIC_1085.PV,2023-07-01 09:58:00,2023-07-01 10:00:00,3,2.0
03FIC_1085.PV,2023-07-01 10:03:00,2023-07-01 10:04:00,2,1.0
03FIC_1085.PV,2023-07-01 10:07:00,2023-07-01 10:07:00,1,0.0
03FIC_1085.PV,2023-07-01 10:12:00,2023-07-01 10:14:00,3,2.0
03FIC_1085.PV,2023-07-01 10:18:00,2023-07-01 10:22:00,5,4.0
03FIC_1085.PV,2023-07-01 10:25:00,2023-07-01 10:25:00,1,0.0
03FIC_1085.PV,2023-07-01 10:28:00,2023-07-01 10:30:00,3,2.0
03FIC_1085.PV,2023-07-01 10:32:00,2023-07-01 10:32:00,1,0.0
03FIC_1085.PV,2023-07-01 10:35:00,2023-07-01 10:36:00,2,1.0
03FIC_1085.PV,2023-07-01 10:40:00,2023-07-01 10:41:00,2,1.0
